county,month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
BERGEN,Jan,1,76,14,814000,830000,6.53,51000,8.18,95787,14.3,86,
BERGEN,Feb,2,62,15,899000,930000,2.4,17000,3.84,17108,33.3,97,
BERGEN,Mar,3,80,29,899000,999999,5.08,41100,5.81,31680,34.5,65,
BERGEN,Apr,4,88,24,899000,930000,0.75,8000,2.74,2984,41.7,78,
BERGEN,May,5,66,22,899500,1073258,4.6,40000,7.38,75183,31.8,56,
BERGEN,Jun,6,76,35,915000,1081000,4.55,33000,8.64,74815,40.0,65,
BERGEN,Jul,7,156,45,845000,950000,8.15,65000,9.13,76801,22.2,68,
BERGEN,Aug,8,126,45,939000,999999,4.49,40001,5.83,47608,28.9,65,
BERGEN,Sep,9,118,37,810000,902000,1.25,10000,4.91,34550,32.4,63,
BERGEN,Oct,10,97,28,769000,862500,5.59,41000,6.19,52365,25.0,64,
BERGEN,Nov,11,94,24,700000,756500,4.73,35500,7.13,67416,29.2,54,
BERGEN,Dec,12,96,22,970000,1040500,2.32,8500,3.76,11328,45.5,86,
ESSEX,Jan,1,683,329,749000,800000,3.59,25000,6.27,51667,33.4,78,
ESSEX,Feb,2,538,236,787000,875000,3.89,26750,7.3,63720,38.6,71,
ESSEX,Mar,3,698,356,777000,865000,8.57,54750,10.31,87081,22.5,54,
ESSEX,Apr,4,833,440,799000,887500,7.69,55050,11.09,103266,24.1,57,
ESSEX,May,5,1015,599,815000,919000,10.09,80100,12.68,118023,18.2,57,
ESSEX,Jun,6,1243,721,879000,999999,9.68,77000,11.83,116880,19.8,61,
ESSEX,Jul,7,1591,914,849000,950000,9.04,66100,10.78,102395,22.4,62,
ESSEX,Aug,8,1264,688,800000,905000,7.29,55000,9.53,83583,23.3,65,
ESSEX,Sep,9,926,470,730000,788500,4.62,35000,6.93,52806,27.2,61,
ESSEX,Oct,10,894,418,727000,769900,4.11,25000,6.7,53591,32.5,64,
ESSEX,Nov,11,851,454,799000,855000,6.0,45000,8.06,68939,26.2,61,
ESSEX,Dec,12,904,474,772000,831250,5.95,40000,8.39,71130,27.6,62,
MIDDLESEX,Jan,1,362,230,531000,550000,1.65,7500,2.46,12413,38.7,82,
MIDDLESEX,Feb,2,332,215,549900,559000,1.01,5100,2.14,10480,37.7,77,
MIDDLESEX,Mar,3,391,240,572500,579000,2.37,12800,3.43,20266,37.5,63,
MIDDLESEX,Apr,4,399,248,550000,583750,3.73,20000,4.45,23270,26.6,66,
MIDDLESEX,May,5,417,275,549900,580000,3.57,20000,4.75,27469,25.5,62,
MIDDLESEX,Jun,6,521,359,599900,621500,3.08,15100,3.96,25267,33.7,64,
MIDDLESEX,Jul,7,670,438,550000,581000,4.07,21000,4.86,27452,26.7,69,
MIDDLESEX,Aug,8,563,330,574950,590000,3.94,20000,4.29,22635,31.8,65,
MIDDLESEX,Sep,9,503,301,538000,555000,3.74,19000,4.32,21189,29.6,65,
MIDDLESEX,Oct,10,511,322,549000,575000,2.42,12250,3.04,13802,32.9,69,
MIDDLESEX,Nov,11,482,286,569000,577500,2.07,11000,3.26,16591,33.9,70,
MIDDLESEX,Dec,12,479,286,560000,584000,1.79,10000,2.76,15021,37.8,69,
MORRIS,Jan,1,763,388,749950,762500,0.82,5625,2.31,13730,42.3,77,
MORRIS,Feb,2,649,316,699900,720500,0.9,5000,2.7,18572,44.0,78,
MORRIS,Mar,3,741,425,725000,760000,3.9,26000,5.24,45903,33.6,56,
MORRIS,Apr,4,864,508,753000,810000,5.26,35100,6.42,52419,25.2,56,
MORRIS,May,5,1072,632,799000,851000,6.0,46500,7.09,61945,24.2,57,
MORRIS,Jun,6,1278,807,785000,840000,5.21,40100,6.15,56846,25.3,61,
MORRIS,Jul,7,1566,867,799000,840000,5.09,40000,5.91,50059,26.3,64,
MORRIS,Aug,8,1353,754,749000,779328,4.24,26000,5.22,40243,28.2,64,
MORRIS,Sep,9,1021,546,748000,778164,3.65,24550,4.43,28355,34.1,66,
MORRIS,Oct,10,1038,546,745000,760000,2.67,16550,3.98,27825,36.4,62,
MORRIS,Nov,11,1008,517,715000,755000,2.33,15100,3.61,27001,35.6,63,
MORRIS,Dec,12,974,534,749450,775000,0.85,5050,3.06,20709,44.2,67,
PASSAIC,Jan,1,322,148,639450,642500,2.13,11000,3.8,23997,34.5,82,
PASSAIC,Feb,2,241,103,599999,635000,2.17,11000,3.96,21072,34.0,76,
PASSAIC,Mar,3,249,136,599450,631000,4.37,25000,4.35,25712,28.7,66,
PASSAIC,Apr,4,292,164,609950,636250,4.38,26000,5.16,30135,24.4,60,
PASSAIC,May,5,334,188,599900,629375,4.01,21100,4.98,32112,25.0,63,
PASSAIC,Jun,6,399,225,625000,675000,6.21,35000,6.69,43218,21.3,62,
PASSAIC,Jul,7,477,269,622000,655000,5.21,30100,6.25,40231,21.6,64,
PASSAIC,Aug,8,400,209,599900,640000,5.26,30000,6.15,36348,19.6,64,
PASSAIC,Sep,9,378,190,599900,625000,3.55,20000,4.18,25252,28.9,70,
PASSAIC,Oct,10,414,191,599999,660000,3.86,25000,4.6,28464,30.9,71,
PASSAIC,Nov,11,358,157,625000,630000,2.67,15001,3.89,23479,33.1,75,
PASSAIC,Dec,12,343,178,623500,640000,3.21,20050,3.29,22717,29.8,66,
SOMERSET,Jan,1,371,227,669000,676000,0.7,4999,2.16,5555,45.8,72,
SOMERSET,Feb,2,301,194,599000,595000,0.0,0,1.53,3978,53.1,73,
SOMERSET,Mar,3,344,236,627450,650750,2.04,14000,2.8,19369,38.1,61,
SOMERSET,Apr,4,406,276,677000,715000,3.33,23000,5.0,30981,32.2,59,
SOMERSET,May,5,507,359,699000,750000,3.9,25100,5.0,35140,29.5,58,
SOMERSET,Jun,6,599,441,715000,750000,4.5,30000,4.96,34467,23.8,60,
SOMERSET,Jul,7,781,546,772500,800000,3.98,25455,4.23,27416,28.0,63,
SOMERSET,Aug,8,669,429,739000,750000,2.78,20000,3.83,28472,32.2,64,
SOMERSET,Sep,9,522,366,700000,740000,2.6,15100,3.09,16985,35.0,61,
SOMERSET,Oct,10,506,329,679900,695000,1.69,10000,2.82,14001,41.6,63,
SOMERSET,Nov,11,490,309,680000,710000,1.01,5000,2.33,1939,44.7,62,
SOMERSET,Dec,12,479,315,650000,675000,0.2,1000,1.67,3802,46.0,63,
UNION,Jan,1,412,232,798944,823875,3.42,21000,4.95,45211,39.2,71,
UNION,Feb,2,318,185,799000,835000,3.93,26000,4.66,42043,33.0,71,
