month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,1089,1084,715000,762500,2.62,17000,4.91,39163,36.5,65,
Feb,2,1450,1436,749000,800000,5.26,35000,7.2,61315,25.5,59,
Mar,3,1782,1764,785000,847000,6.57,50000,8.48,76102,22.4,58,
Apr,4,2103,2082,800000,885000,6.57,50026,8.2,77290,20.9,65,
May,5,3197,3158,799000,874500,6.67,50001,8.37,76623,20.9,64,
Jun,6,3253,3242,789000,836750,5.29,36000,7.03,59084,25.3,62,
Jul,7,2756,2745,749000,781000,4.19,26000,5.55,42606,29.0,59,
Aug,8,1997,1994,700000,750000,3.24,21000,4.58,30948,32.9,62,
Sep,9,1707,1700,715000,752288,3.6,25000,5.32,42835,30.7,62,
Oct,10,1899,1884,749000,775000,3.02,20000,4.9,38052,35.4,62,
Nov,11,1413,1409,699999,750000,2.56,15100,4.45,33459,36.2,67,
Dec,12,1026,1021,692999,705000,1.17,6000,2.89,18295,43.0,73,
